,label
54939,0
184471,1
36512,1
76830,0
128623,1
42526,4
195172,0
95862,0
11753,4
211370,3
322303,4
292677,1
232903,1
355436,3
125805,0
210843,1
130859,4
264658,2
393233,3
159495,4
124813,3
172897,1
373316,0
152479,0
406585,1
234945,1
272578,1
22307,0
123890,0
77013,1
287398,0
116152,5
112579,0
145449,1
299568,1
212032,1
402852,1
190525,5
336325,1
175604,0
13814,0
188705,1
224547,3
232529,4
258620,0
100605,1
260000,2
116996,1
343184,3
1555,1
350953,1
265232,1
40115,0
413082,3
71880,5
11559,0
138392,0
407985,0
386740,1
98957,2
289631,0
286217,0
404393,1
284654,4
78415,1
267373,1
368108,1
80493,1
68944,1
272088,4
153211,3
389539,1
289475,3
91422,2
14737,1
64453,3
361864,1
189924,0
55436,0
44435,3
121037,3
34673,3
194422,1
360325,2
294643,0
57803,3
232324,1
318878,0
133716,0
348592,1
251914,4
109753,0
321556,1
385511,2
182644,3
272134,1
138871,1
155328,2
174529,4
407138,4
68322,2
84336,1
248340,0
65287,1
356298,4
9888,1
274286,3
330277,1
30251,4
132217,0
35569,1
283989,4
26992,2
24528,0
13592,2
143934,2
394952,4
339097,1
92258,0
78689,3
76962,0
284386,1
107476,4
175143,0
3033,2
49035,3
49339,1
239038,1
321367,1
89834,0
222607,2
240575,0
223013,1
154608,4
328487,0
302641,2
1107,0
389392,1
28984,0
388193,0
185058,5
164299,2
154902,4
14691,3
293589,2
238188,3
185505,1
15225,2
65227,2
400518,1
201059,1
353029,0
97453,4
388784,1
66629,1
223089,0
364674,0
282512,4
232473,5
379238,0
289407,1
288898,3
141111,0
246508,4
345223,1
416047,5
3925,0
332385,0
129145,2
92425,1
96632,2
146360,4
327071,0
114297,4
227155,4
30638,3
85017,0
192407,1
260498,0
184675,1
31405,1
330510,0
280982,0
295672,0
105939,2
223090,4
232294,0
379044,0
161590,4
155647,1
172145,1
398953,3
321760,1
275300,4
57347,0
206927,1
45095,3
176251,1
106647,3
46403,0
71581,0
49324,0
274678,1
310476,2
78254,0
369311,4
363839,2
92688,2
237717,3
100673,1
319989,3
288278,0
228769,1
160839,0
347413,0
348453,1
395587,2
261258,0
374653,2
299541,0
216190,3
239338,1
261016,0
26845,1
118315,1
284553,0
45154,4
36701,0
219366,0
25316,1
218350,1
396833,0
147655,2
91031,0
376791,1
301928,1
193176,1
297542,2
28473,3
318366,1
409618,1
65469,0
205115,0
60571,0
403714,0
9705,3
209745,3
254248,1
64408,0
278693,3
284943,0
137683,2
195849,1
175668,1
98843,0
171522,2
276125,1
293165,3
184230,4
104230,1
296158,3
306925,3
150760,1
233747,0
179519,3
67911,3
367995,0
7078,0
296202,3
79407,2
85305,1
240882,0
341791,1
358943,1
351532,1
41090,1
30833,1
152738,1
127336,0
189977,5
301315,0
12150,1
168219,4
293126,1
134192,1
390258,4
398552,1
10176,2
137396,4
103864,1
361124,0
326686,0
146797,3
41497,0
379049,4
115849,1
82787,0
76320,3
287303,0
319425,0
370554,4
48341,1
378810,0
345264,0
400910,3
327173,2
369058,1
19019,1
233964,4
280537,0
233774,1
218234,1
27548,1
208123,4
54606,1
64543,2
212623,0
410668,4
371996,5
19013,0
192900,1
201818,0
401031,1
58893,1
342128,3
384799,4
297830,1
165847,4
404561,0
323072,4
141074,5
147508,1
12493,0
215804,3
274758,0
134005,2
365938,1
367733,0
222716,1
37450,0
158118,2
181803,3
150120,0
275470,1
209302,5
252120,1
382012,0
62786,1
198835,4
135379,0
264396,4
407182,0
280796,0
299972,1
391002,3
108404,2
363125,0
355464,0
321812,1
143029,0
58842,4
212940,0
61284,3
373913,0
51678,1
21463,3
102412,3
213523,0
9142,4
83733,1
132788,2
383808,3
315506,1
245163,1
223212,0
134816,1
47739,1
349251,1
116347,2
415519,3
135470,0
160527,1
354848,0
404407,0
208152,1
22675,0
133862,5
268594,1
105477,0
350323,2
68022,0
255344,3
135358,2
174111,5
224222,2
352793,0
298533,3
95746,1
265718,4
134802,1
38512,0
400007,3
135441,1
177141,0
122547,1
354938,0
348458,3
395943,3
85556,1
187027,2
330048,4
183954,1
354779,1
260213,1
22065,4
348148,1
245095,1
338977,5
256329,4
42776,0
130461,5
328141,5
80197,3
375077,1
404180,0
306184,1
304375,3
391462,4
373901,1
167601,0
72224,0
62235,0
82569,1
44002,1
308121,3
91735,0
340266,1
191073,1
166879,4
11026,3
244301,1
222135,0
125492,5
68543,4
171158,4
165274,0
64819,1
174020,1
272988,5
409426,1
3564,0
318343,0
311461,1
386190,0
203612,4
217770,0
286765,0
4339,0
379189,3
104418,1
149446,1
145079,0
166189,1
352540,1
104504,3
107913,2
26364,3
277136,1
24619,3
156557,0
333325,1
122324,5
413285,1
217795,4
402130,0
212085,2
310656,0
215633,2
414685,4
263306,2
156121,2
309244,4
204091,1
354144,3
162033,1
177932,0
308036,0
295138,0
297786,1
113805,0
218949,5
335805,2
27415,0
236115,0
142948,0
21177,4
366385,1
231434,1
121430,1
320839,0
264312,3
115274,4
145507,2
159505,2
401114,1
103805,1
301385,0
382954,3
315531,2
235670,0
75543,2
107932,3
140183,0
70558,0
300926,1
47952,0
283141,1
302674,1
386102,0
153309,1
303086,0
142571,0
165210,0
202156,3
248766,5
234516,1
280240,0
11968,1
33605,1
345726,3
290439,1
106494,1
248509,1
250983,0
12397,0
374215,3
149140,3
415752,3
8946,3
109745,1
360901,0
91930,3
384059,0
360971,0
114635,4
287918,3
16486,0
336631,0
115962,0
136522,0
319159,0
279201,4
135721,3
308602,0
77177,1
69701,1
106660,1
46865,4
169456,1
379031,1
59051,0
227749,0
95663,0
148199,1
100442,0
43831,5
36702,1
86877,2
143527,1
111902,0
294026,1
106481,0
362450,3
177284,0
246163,1
227779,4
139025,1
76369,4
73284,0
156963,0
380057,1
48373,4
209000,0
194355,4
383593,3
189860,3
170390,3
81882,0
310786,1
360154,4
355199,1
343734,0
119370,0
401749,0
338927,4
171466,5
23765,0
161210,1
205350,1
103248,1
286749,4
407409,1
393239,1
57700,3
25657,1
48007,0
267399,0
31587,4
186351,1
121294,2
302603,3
297424,5
325206,0
41358,0
214300,3
55568,0
335831,1
395289,1
236660,3
206922,1
385706,1
152736,0
233552,1
324864,0
173761,1
21825,0
320618,0
92859,0
293703,3
49289,1
87972,1
306041,1
102877,0
208033,3
49380,3
220374,0
135636,3
7523,0
85120,1
42922,2
274091,1
204190,0
121573,1
361317,2
291852,1
97265,2
256008,3
275024,1
97352,0
10852,1
168200,2
365924,3
277152,1
212470,1
347197,1
256146,1
415004,1
254075,1
43217,1
235941,1
261367,1
354303,0
359779,4
174748,0
377683,0
103456,1
139418,1
156761,3
361605,0
279818,4
57026,0
169632,3
105006,1
166011,4
44459,2
96945,3
272059,1
165668,3
41838,2
228758,1
335719,0
249583,1
83694,1
70653,1
234289,5
280520,1
140856,0
20724,1
55148,4
21682,1
206225,2
278531,1
43615,1
246671,0
159660,2
143005,1
150620,0
326434,1
21823,0
52488,0
167686,5
349562,1
378175,0
303706,3
143956,1
91276,1
88752,5
391353,0
315373,0
91587,1
78401,2
330191,0
68967,4
298453,1
359558,4
170776,1
370109,0
412920,0
340185,1
21454,1
87692,1
54008,3
13213,0
354839,2
302353,2
411580,4
3707,0
116452,1
154694,1
365602,0
292832,0
32818,0
241194,0
12160,1
414537,0
2328,1
112527,0
236376,4
173453,1
80766,0
367282,0
236980,2
104832,0
242464,4
146485,3
395139,4
119281,5
153139,3
42714,0
227525,5
71570,3
328458,0
151712,0
82346,3
379550,3
269624,0
364856,5
218260,4
148430,4
340715,1
373608,1
340053,1
72000,1
50565,1
137974,0
74144,1
163929,1
255850,3
394471,0
87165,1
194588,1
292472,1
151986,0
289339,4
129238,0
180555,0
401821,2
231828,3
238138,2
182902,4
236264,0
299425,3
70690,0
1489,1
28271,1
311040,2
251860,0
197114,0
278640,1
150394,5
263782,0
264510,3
349430,1
160547,0
223422,3
66320,1
382607,0
393922,4
167936,0
149717,1
362820,2
338612,3
151011,0
49867,1
121977,1
322705,1
152459,1
80938,0
123677,4
121700,0
342000,0
181558,1
357056,1
49064,0
294416,1
235043,1
13419,1
126868,0
282313,0
280174,0
218651,0
291319,0
9839,1
295781,1
288566,2
62860,3
368430,1
60644,1
126859,0
310615,1
404156,0
344489,0
281952,0
213144,4
318161,0
367559,1
42354,1
273326,4
366947,0
145910,4
69137,1
195298,3
161155,3
235127,3
359743,0
173278,0
89171,1
300092,0
175750,4
7403,0
91266,2
293341,0
245865,1
275317,1
358412,1
279317,2
180211,4
336327,0
197023,2
287788,1
311724,1
322154,0
13852,2
112116,2
247795,1
90251,2
122516,0
181768,1
175718,0
43923,3
260675,2
384152,2
7527,0
275321,2
155308,3
228434,3
107612,0
170757,0
214725,0
242669,1
61231,0
77080,3
25203,0
185232,5
345918,1
77620,2
152288,1
166130,1
327966,0
59609,0
4544,2
249240,0
239207,3
317665,0
191197,4
219122,0
225781,1
65600,2
294332,3
229465,1
322521,3
121958,4
157508,1
390862,2
248800,0
217413,0
411435,1
296666,1
369950,3
161740,4
181872,3
123708,3
20585,1
220897,4
160785,1
215611,0
80882,4
163557,0
352808,3
79580,0
187432,1
259101,1
76330,1
285326,1
383210,1
218567,1
378218,2
357298,5
24145,0
200400,4
88336,1
86426,2
34991,4
175917,3
388062,2
279443,4
221523,1
79948,1
347379,3
321646,0
125290,5
190293,2
77674,4
168014,1
309522,1
120241,2
255184,1
138488,1
11143,1
5396,1
399655,0
43524,0
307684,0
296316,1
386235,0
186456,1
149787,4
352984,1
131891,1
1810,5
83966,1
125380,1
166364,0
372926,1
43626,0
14002,2
213321,1
354624,1
168515,2
374616,1
242981,2
395567,4
308811,5
329761,0
244505,0
77966,0
5052,1
340184,1
329229,3
309843,1
292955,0
398187,4
222290,1
277383,1
182215,0
245645,0
358010,0
341432,1
261996,3
195643,0
379441,1
396752,3
55930,4
161532,1
256327,2
402097,2
4407,1
204074,3
29836,1
104683,2
360765,0
367812,1
172712,1
217048,0
65726,0
295494,0
215664,1
75929,0
108772,2
99946,2
267013,2
8861,0
50772,1
315846,1
151744,1
318447,1
33265,0
225202,1
340946,3
110765,4
340702,2
6267,4
217564,3
269654,3
227209,0
88169,4
77641,4
3154,0
61545,0
265293,2
286834,5
258209,1
257389,4
207442,1
140366,0
293568,0
168830,0
72209,3
321198,1
351892,2
126655,1
129014,3
113271,4
55812,1
336880,1
28339,1
315462,3
219175,0
254439,4
16170,1
369029,1
233613,1
137735,1
113132,4
162232,1
289990,0
86919,1
123714,4
113272,4
135206,2
166811,1
220581,1
211724,1
272731,4
142916,1
12595,1
127371,2
63376,0
300433,2
266771,1
77162,1
307962,1
371557,1
121022,3
113025,1
68617,3
305120,0
229867,0
183376,1
22592,4
168567,1
331548,5
5552,1
312188,0
35903,2
113897,3
198266,0
185485,3
405589,1
46121,0
15103,1
268688,0
39842,1
270646,0
174588,0
254314,3
141878,1
44181,1
378389,4
89501,1
133470,5
245239,3
72855,3
245055,4
136872,2
91887,1
213050,1
322771,0
195001,3
86855,3
390580,1
257014,1
123456,5
216941,3
319535,1
68654,1
59014,1
335115,4
411223,0
415500,1
104643,1
4833,0
363402,3
374190,1
111305,2
164844,1
169378,4
176976,5
396246,0
355320,1
167723,4
175914,1
237226,1
38119,1
108582,1
180842,0
33661,3
388730,4
279274,0
150338,4
216829,0
93280,3
10330,3
181852,3
339359,0
350842,3
114071,1
349201,0
415508,1
255130,0
262840,0
229436,0
167538,1
17663,1
290702,1
171561,1
368092,1
157206,0
209578,1
397471,1
35323,1
255769,2
26783,1
367219,0
12976,0
360290,1
94635,0
140328,2
380621,2
69286,2
367295,0
36712,5
61202,3
160647,5
275371,1
75566,0
105097,4
146616,1
111541,0
158858,0
327626,1
128190,1
115345,0
44035,4
370729,1
151409,4
130192,1
293936,0
275193,3
87881,3
310629,1
48098,1
376161,1
104576,3
95775,1
35849,3
49705,1
279067,0
346107,1
99738,0
402473,3
311634,0
93971,0
169845,1
82273,1
199779,4
95325,1
407293,4
261583,0
59130,1
52694,1
291549,5
277842,4
74506,5
146183,0
374881,0
103324,0
31253,0
397557,1
363401,5
351994,0
30504,5
401606,3
227249,0
156201,1
55367,0
44388,4
123386,3
396573,3
189439,1
242475,0
239937,1
52583,2
223925,1
27028,3
343733,4
384412,2
394919,0
149316,0
257380,0
370497,1
31645,1
352990,1
26827,5
255530,2
354353,3
129562,2
144317,0
150779,1
237291,4
10458,0
235001,1
210585,1
88280,1
354854,0
164091,1
389999,1
304973,4
138363,1
57573,3
29331,1
395796,0
239354,0
185539,4
125938,1
310365,3
34262,4
320401,0
37525,4
376835,1
183204,3
117535,2
239578,0
274314,0
315017,0
252911,1
57949,0
87109,0
84343,0
215159,1
182832,1
112451,1
273955,0
251949,1
274751,0
406456,1
358332,1
395462,1
280101,2
158703,1
2369,0
123743,0
141446,3
252824,5
89116,2
224169,4
372455,0
236609,1
285434,1
3379,1
84296,0
315032,0
215306,4
80898,1
40393,4
224568,0
31259,4
229343,1
109433,2
2236,5
395921,0
33985,1
108396,1
315712,0
73316,0
135558,0
380885,1
248851,1
188595,4
6748,0
384593,2
84107,0
26288,0
328834,0
307964,1
90469,3
188147,0
132817,1
176813,4
396084,1
285859,5
415426,1
203633,0
147787,0
169871,3
151160,3
207346,1
39479,0
349563,1
346250,4
68369,2
179031,4
259012,2
68075,0
286886,1
304538,1
290582,3
158749,0
45995,0
276536,0
314994,5
194290,1
5146,1
315319,2
80374,4
121661,3
82661,5
182474,0
71230,0
137512,0
291879,5
159286,0
219582,0
277616,1
158399,4
129751,2
254766,4
312234,1
307322,0
92308,1
197471,2
45834,0
215078,1
2742,1
401986,1
394302,1
122251,5
59941,1
244472,3
159582,0
147319,1
309942,1
88212,0
32732,0
88283,0
215585,1
12826,0
213687,4
127003,3
99229,0
73497,3
230820,1
160133,4
105094,1
317258,3
26932,1
101367,1
79000,3
76515,3
414628,1
358859,0
307858,1
29113,4
366283,1
216286,0
200406,4
2614,1
28185,0
381570,2
372012,1
291214,1
193721,1
124544,4
61351,1
244570,3
105936,3
195522,1
337972,3
16858,4
271327,2
234231,1
60395,3
264160,0
251368,3
384950,1
235165,1
40122,1
260875,1
95242,1
344866,0
343201,1
38985,3
272105,2
146354,2
4577,0
90074,3
328096,1
243235,0
365673,2
152222,3
252090,1
232118,4
412291,4
99984,0
47026,1
279072,1
205570,0
120155,0
156016,1
291910,1
150594,0
68085,4
128901,0
52146,3
93159,1
119104,2
117138,1
310187,3
94109,0
245982,1
67367,2
368757,1
386769,1
191106,0
371868,4
214690,1
150156,5
49153,0
299695,0
184181,3
79441,4
83951,1
341357,0
255541,0
132171,2
176681,1
406282,1
322591,0
238599,0
366041,0
361608,0
415348,0
40644,1
385148,1
152476,0
323904,0
162524,4
408251,1
400314,0
158370,1
314472,0
206097,1
316851,2
108217,1
212805,0
360984,1
55345,3
336296,1
143341,0
182165,0
307396,3
353861,1
3483,2
401193,5
190503,1
264431,0
160756,1
154977,3
276568,0
12316,1
15813,4
291231,1
411574,5
88796,1
289409,1
214627,0
407368,1
333415,4
365061,1
1298,0
212129,4
139550,0
403244,0
276852,5
181705,2
348648,1
105352,3
115847,0
191335,1
187277,3
376608,1
50712,1
188602,2
363779,1
289000,3
214522,1
396615,0
169734,2
230092,1
360491,1
43884,0
318606,3
270535,4
127385,1
3222,0
195130,0
295905,1
406826,1
287787,0
173985,0
166732,4
123252,4
143185,0
399250,5
289891,1
297445,5
363802,0
157861,0
136843,5
290546,0
6341,3
149273,1
387752,4
382400,1
210409,0
379048,1
311997,0
415083,4
152883,4
222204,3
348518,2
19741,0
71359,1
88318,1
294729,4
254091,0
135026,1
270168,3
313188,1
16346,1
140870,0
81462,4
166806,0
339681,1
339856,3
254786,4
177925,3
357184,4
334796,5
245644,3
1258,0
190119,0
357452,1
63920,0
144889,1
158240,3
180588,2
264736,2
79951,0
345243,3
140303,0
213489,3
124598,1
287104,5
263350,0
359307,0
66980,3
173792,1
259165,1
2193,0
341608,1
277726,1
371417,0
118695,0
376745,0
272418,0
414012,1
155213,1
226483,2
84300,3
279176,1
53290,1
210598,2
63617,1
355572,1
94187,0
24205,3
293896,0
389463,5
307279,1
296047,0
272694,4
213691,0
199255,1
81455,1
384520,0
70777,1
80183,1
145076,0
273760,1
111935,0
308666,3
357118,1
239321,2
55660,1
352220,0
604,4
104553,0
358183,0
64981,1
236238,0
321465,1
176810,0
50774,0
137825,1
197020,4
98228,1
360259,0
119360,0
96689,0
133882,0
179194,0
98343,0
68346,0
109050,0
276028,1
80736,1
380468,1
315197,3
392703,1
404245,0
101885,0
396190,1
166504,0
334305,0
49344,1
376477,4
84716,2
273024,0
167545,2
132471,1
286168,1
83399,0
91775,0
172416,3
247043,1
349397,0
148339,1
165604,2
236880,1
322415,0
324770,0
38970,2
119870,0
184705,1
234016,1
333164,4
89972,3
74536,2
372849,2
140812,0
268000,0
272974,1
219430,1
121902,3
20255,0
291760,1
137898,4
57437,1
363937,5
378960,0
90110,1
119745,2
94204,0
368486,3
337632,1
375685,0
326410,3
380800,3
398333,0
162665,3
279668,5
98453,1
20472,4
276853,0
236623,0
82482,4
154959,4
272951,0
20004,3
166393,0
132250,1
14109,1
138030,1
128406,1
358161,2
328633,0
148385,3
12908,0
177437,2
159772,3
83133,0
368531,2
283363,1
60477,0
389893,1
192031,1
230108,3
254000,4
126015,4
25849,1
70923,5
263232,4
339066,0
110338,1
285656,0
388005,0
190971,1
126770,4
75758,1
151714,2
319279,0
306815,4
254502,3
224137,2
85615,3
249486,0
43401,1
391879,4
12304,0
321562,1
317691,1
245821,3
289280,2
145971,0
366919,3
393054,1
401147,3
236951,1
263990,1
341280,4
233993,2
1076,2
231378,1
24438,2
5122,2
270978,1
406410,2
142721,0
117765,4
228494,0
366278,1
133295,4
92807,1
25530,0
135075,4
143599,3
81928,1
186467,4
324304,1
112833,0
193464,0
1440,2
366655,1
171269,1
392980,3
130446,3
285819,0
77766,0
81545,0
346701,0
82339,3
390794,1
368121,1
380752,0
26734,0
181656,2
296814,0
47790,0
66160,3
251318,1
386665,1
379420,1
16778,0
410055,4
195432,1
370182,0
221064,0
347618,1
64412,3
6421,0
225790,1
294216,1
282475,3
176318,1
71897,1
383219,4
88512,1
388840,0
367259,0
144404,0
387454,2
391846,3
167946,4
226719,3
191138,3
5892,1
231619,4
186707,3
161821,4
368956,0
30881,1
194004,3
49900,1
209489,2
314185,3
12137,0
153006,1
146490,3
82474,1
293771,0
262897,3
320202,4
391836,1
370792,1
248111,0
236798,1
48391,1
67270,1
379456,1
156492,1
143154,4
48815,3
31727,4
291385,3
283745,1
40363,4
356609,1
140130,0
384058,0
42441,3
338449,5
297582,1
250543,0
67377,0
68976,1
241290,0
68706,1
62102,5
158726,0
189254,0
340367,3
74277,0
213134,4
111934,0
297136,1
376034,0
29773,0
377,1
74316,5
351734,1
259399,0
50986,2
294886,2
413078,3
179630,3
350017,3
323082,0
272363,1
416022,4
403126,1
63995,0
377572,0
83008,1
14912,2
124012,1
92147,0
335392,1
215562,3
7830,1
197656,0
219998,1
278173,0
146110,0
132291,0
171262,1
74065,1
69159,0
356779,5
54557,0
293054,0
217310,1
144493,3
314153,2
266978,1
248353,0
277134,2
416654,1
85970,5
405828,1
174260,4
131310,1
237822,0
308206,2
375848,4
46592,0
250682,2
67289,2
232914,1
50735,3
131651,4
306618,2
402181,1
44199,3
3011,1
154212,0
242664,0
74094,0
41745,3
42764,0
22435,0
64406,5
171308,3
33981,0
218190,1
282242,1
230993,3
4029,4
13495,0
211624,0
196857,1
100120,4
131509,1
399723,1
228049,1
276569,4
299868,5
207560,1
182113,0
410814,2
22137,2
247857,1
10513,1
94792,4
384275,1
123667,4
277484,1
353194,4
129488,5
263616,0
374564,0
224020,0
301863,1
392815,1
145978,1
71070,2
315190,1
319402,5
183976,2
147763,0
289786,2
165084,3
156444,1
162779,4
40716,4
96271,4
181080,4
346110,5
190939,4
174659,1
42543,4
169522,3
112438,0
409230,4
175332,1
40602,2
17857,2
114485,0
33942,1
246646,4
360463,0
38570,0
406822,1
370552,1
205529,1
346024,0
409720,2
160284,3
364505,1
119398,0
277607,0
18983,3
293008,0
70858,1
166804,0
20773,1
117342,1
7726,4
262460,2
99885,1
134188,0
158689,3
125067,1
28341,4
250725,1
379810,1
353841,1
24155,1
373462,1
244211,4
178625,2
363578,1
399420,2
237777,0
172392,1
241150,1
53626,3
308745,0
147239,1
13281,1
232783,1
101893,4
255732,3
312964,2
2180,3
346192,2
256712,0
99296,0
197652,0
244190,1
397934,0
298971,2
367956,1
154131,0
146453,1
72008,1
111915,1
199679,2
232874,1
91980,1
113188,1
253277,2
175543,4
345016,0
348156,0
299844,1
407904,4
262785,1
321990,0
140085,0
395452,3
993,1
109122,0
60213,1
164214,4
181194,0
63081,1
383152,2
370901,1
219130,3
68748,0
68847,1
258304,1
246091,1
276350,4
298300,2
87052,3
258774,3
4741,3
133436,4
25266,0
306052,1
300107,2
283429,3
44656,1
122940,3
341411,1
242748,1
195741,3
365747,1
271384,0
199203,3
215995,0
26592,0
402481,0
393185,2
46359,3
196425,1
287646,1
45008,1
79871,0
136125,3
114628,3
318299,1
142267,0
225588,0
162895,1
298467,0
279897,3
263440,1
25581,2
84452,3
305044,3
31395,0
399885,1
254822,0
230636,4
231580,1
366230,1
50745,4
255856,3
277694,2
411713,1
280206,0
177682,1
160870,1
10546,1
386957,4
218188,1
279324,3
49346,0
374193,4
155736,1
170910,0
402318,0
128397,1
393908,0
145733,0
4315,3
167549,3
214930,1
278638,5
334264,2
270172,0
104639,1
333163,5
337053,1
156352,1
380148,1
119109,4
154581,0
180686,4
310641,4
288355,3
351590,4
192319,2
104251,1
63357,4
105454,1
253808,4
188918,3
357826,0
264173,0
14915,3
390142,0
45,0
236345,3
256802,4
103494,1
352459,1
189197,2
326942,1
59037,2
56260,1
315072,1
119419,5
197950,0
285754,0
400473,0
252642,3
392938,1
348347,1
352997,0
124180,3
30453,0
254761,0
325875,1
153407,1
46425,0
236519,4
37494,0
106138,1
351162,3
69170,3
405892,1
279376,1
24357,2
204984,0
4988,0
218758,1
148267,1
179200,5
205079,0
216539,1
253507,1
334874,0
254434,2
107330,0
377918,1
62845,3
174593,0
281784,0
148943,1
199873,1
298737,1
31392,1
330488,1
226908,3
929,0
167250,1
264440,1
169020,2
349073,1
287115,1
337897,1
326490,0
171763,0
386310,1
253126,0
388028,5
311942,1
271647,1
7039,2
232896,1
256013,0
260769,1
406048,4
157314,1
243965,0
154231,1
121831,3
85250,0
147017,1
13660,1
196983,1
367205,3
32552,4
323789,4
288089,3
186727,0
380250,3
220117,0
89770,1
248606,1
31787,4
350141,2
149010,1
60815,1
132599,0
26900,0
177671,0
105795,0
199005,3
13863,1
24006,1
103208,1
409796,1
74784,3
172077,4
274927,1
337306,0
296153,1
240371,1
174398,0
18623,3
59145,0
73244,1
292725,1
91448,4
152662,1
23055,1
104875,0
240210,0
413800,1
161258,0
368289,3
320964,0
91940,1
84817,3
170766,1
236889,1
313108,1
188941,1
396164,3
255317,1
222597,1
155278,1
195496,3
289530,1
25586,3
158270,0
34661,1
359195,3
287512,1
183981,1
353288,3
19167,1
52557,3
117129,2
350272,4
147490,1
348285,1
94696,5
325424,1
399971,2
125656,0
167316,4
281733,0
297335,0
293438,1
278328,1
323801,3
43834,1
346497,0
244634,4
257684,1
101571,0
3043,0
283773,1
221493,0
346997,5
34597,1
136323,0
310658,1
46313,1
155137,4
407006,0
336595,1
261025,0
148770,1
231897,1
105584,1
233378,0
3586,0
330831,1
90799,1
403274,0
324042,0
326697,1
283579,4
246676,0
133528,4
194982,1
96905,1
386485,1
171902,1
394657,3
37057,0
149078,3
72983,1
158769,0
295,0
252371,2
101874,1
387707,2
94220,1
246455,3
20570,1
24479,3
103512,0
115264,0
167436,0
168092,5
50782,1
201762,2
89812,0
167190,2
219435,4
51935,3
162402,1
176406,4
63197,0
302575,3
30544,0
295878,1
409655,3
169879,4
188728,0
172559,3
67371,1
321515,3
313975,2
230927,3
25399,1
295143,3
243735,1
269838,0
381934,1
36171,3
23646,1
399287,1
55614,1
402170,1
393432,1
133823,1
17428,1
254332,0
245584,0
340104,1
190707,4
130706,1
198840,0
288618,0
407451,4
172680,0
169901,1
140690,1
385754,2
188828,1
240634,3
273388,0
251519,2
360507,3
197908,2
284370,0
249902,0
214085,1
313730,0
259225,3
399231,1
82655,4
7742,3
85617,1
48109,4
334383,0
160966,1
351147,2
385368,0
354595,1
237395,1
54685,5
404990,1
142998,2
388811,1
92909,0
36236,1
384347,0
360166,0
189,1
227162,3
384024,0
119891,0
237448,1
85518,0
341070,0
20224,1
360273,0
290298,5
338065,1
316462,1
387907,1
182624,2
152644,1
76740,1
255942,0
19225,0
56066,1
254084,4
280099,4
340644,1
41007,0
122083,1
4583,4
232625,3
164725,0
40286,0
215747,5
344860,3
132816,0
97027,1
48507,1
287084,2
75818,1
409911,0
282989,1
241577,4
254568,0
140875,3
365887,3
88183,1
244745,4
89804,4
318998,1
348933,4
301256,1
372043,0
207534,0
322853,0
100095,4
292948,5
372188,3
137570,3
274455,1
98775,4
101325,1
18157,0
415380,1
149979,3
320070,1
98090,4
46890,1
344327,2
330283,1
300245,4
32927,0
107911,3
399764,1
217146,1
193253,4
351050,5
231013,0
99844,0
67802,2
269001,3
320624,2
28999,1
386245,4
283712,1
214957,4
184726,5
70903,3
62400,0
164523,0
39607,0
79664,0
352699,1
401690,3
115869,5
379671,3
144756,4
204099,3
156526,1
134479,4
110281,0
247053,0
394052,4
318055,2
275201,4
236507,1
373886,1
210128,0
146625,1
400653,0
182392,2
123089,1
132143,0
83499,0
378748,0
